Specification Name,DPL Types,Data Fields,FTP  Server Location
GTM_DENIED_PARTY_ITW,"USCG,EUASL","DPL_ID, DPL_STATUS, DPL_NAME, DPL_ADDRESS_1, DPL_ADDRESS_2, DPL_ADDRESS_3, DPL_STATE, DPL_COUNTRY, DPL_COUNTRY_OF_ORIGIN, DPL_SEE_ALSO, DPL_PRIVILEGES, DPL_EFFECTIVE_DATE, DPL_EXPIRY_DATE, DPL_FRC_DATE, DPL_FRC, DPL_CATEGORY, DPL_AGENCIES, DPL_TYPE, CREATED_ON, CREATED_BY, MODIFIED_ON, MODIFIED_BY, DPL_ZIP, DPL_ADDL_INFO, DPL_URL, DPL_ENTITY_TYPE, DPL_IMAGE, APPROVED_DATE, DPL_COUNTRY_NAME, DPL_COUNTRY_OF_ORIGIN_NAME, DPL_DUNS, DPL_CAGE_CODE, MD5, WLCS_IDENTIFIER",/EMD_BIO/WLCS-PROD/DataFiles/
ORACLE-TEST,USCG,"DPL_ID, DPL_STATUS, DPL_NAME, DPL_ADDRESS_1, DPL_ADDRESS_2, DPL_ADDRESS_3, DPL_STATE, DPL_COUNTRY, DPL_COUNTRY_OF_ORIGIN, DPL_SEE_ALSO, DPL_PRIVILEGES, DPL_EFFECTIVE_DATE, DPL_EXPIRY_DATE, DPL_FRC_DATE, DPL_FRC, DPL_CATEGORY, DPL_AGENCIES, DPL_TYPE, CREATED_ON, CREATED_BY, MODIFIED_ON, MODIFIED_BY, DPL_ZIP, DPL_ADDL_INFO, DPL_URL, DPL_ENTITY_TYPE, DPL_IMAGE, APPROVED_DATE, DPL_COUNTRY_NAME, DPL_COUNTRY_OF_ORIGIN_NAME, DPL_DUNS, DPL_CAGE_CODE, MD5, WLCS_IDENTIFIER",/EMD_BIO/WLCS-PROD/DataFiles/
